Date de publication,Intitulé du poste,Compétences,Lieu,Salaire minimum,Salaire maximum,Type de contrat,Nom de la société
2022-12-25,Data Analyst - Publicité,"sql, t-sql, outils",paris,,,CDI,sept lieues
2022-12-16,Data analyst - H/F,"support, outils, agile, design, big data",paris,,,CDI,edf france
2022-12-19,Customer Data Analyst (H/F),"crm, data quality, sql, sas, python",paris,,,CDI,hermes
2022-12-25,Master Data Analyst H/F,"si, support, sap",moussy,,,CDI,tereos
2023-01-12,Portfolio Data Analyst H/F,"outils, support, decisionnel, sql, test",île-de-france,,,CDI,safran
2022-12-31,Data Analyst BO/Qlick Sense (h/f),"support, sql, data management, business objects, t-sql",maisons-alfort,45000,50000,CDD/Intérim,fed it
2022-12-18,Product Data Analyst - BI - H/F,"cloud, paas, qlik, iaas, support",paris,,,CDI,cegid
2022-12-16,Data Analyst / Chef de Projet BI (h/f),"data management, business intelligence, bases de données",paris,60000,62000,CDI,fed it
2023-01-14,Business analyst senior DATA CRM - Paris H/F,"crm, agile, decisionnel, réseau, réseau",paris,,,CDI,credit agricole
2023-01-02,Data scientist / Analyst and software development F/H,"big data, scrum, intelligence artificielle, electronique, maintenance",rueil-malmaison,,,Stage,vinci
2023-01-02,Data Analyst (H/F) – Mobile Gaming - Gaminho,"mobile, marketing, outils, t-sql, sql",paris,,,CDI,paris&co
2023-01-01,Responsable Analyses et Data Relation Clients Assurances Dommages-(H/F),"sas, téléphonie, serveur, communication",la-defense,,,CDI,societe generale
2023-01-12,DATA INGENIEUR F/H,"digital, outils, cloud, webmarketing, marketing",suresnes,,,CDI,fyte
2023-01-01,Alternant - Data Analyst - statistiques prédictiveset connaissance client (H/F),"outils, marketing, digital, machine learning, python",saint-ouen,,,CDI,engie
2022-12-18,Data Scientist - CDI,"marketing, data management, support",rueil-malmaison,60000,65000,CDI,fed it
2023-01-06,Ingénieur MCO CyberSOC F/H,"sécurité, securité, si, réseau, outils",puteaux,,,CDI,i-tracing
2023-01-13,Consultant Data h/f,"big data, oracle, cloud, sap, python",paris,60000,70000,CDI,selescope
2023-01-13,DATA ENGINEER BIG DATA - H/F,"big data, python, support, intelligence artificielle, hadoop",paris,,,CDI,banque de france
2023-01-01,DATA QUALITY MANAGER-(H/F),"data quality, marketing",fontenay-sous-bois,,,CDI,societe generale
2023-01-10,Chef de projets data - analytics H/F,"marketing, outils, digital, ux, mobile",gennevilliers,60000,70000,CDI,hays france
2022-12-24,Senior Data Engineer - WINGLET.IO,"scala, data quality, edge, python, big data",paris,,,CDI,paris&co
2023-01-14,Responsable Etudes et Projets SI H/F,"si, data management, data quality, méthodologie, outils",boulogne-billancourt,55000,60000,CDI,michael page
2022-12-21,Ingénieur BI & Big Data stagiaire F/H,"big data, bases de données, nosql, système, decisionnel",saint-germain-en-laye,,,Stage,trimane
2022-12-25,Stage BI & Big Data #3 F/H,"big data, business intelligence, machine learning, outils, nosql",saint-germain-en-laye,,,Stage,trimane
