,Date de publication,Intitulé du poste,Compétences,Lieu,Salaire minimum,Salaire maximum,Type de contrat,Nom de la société,Poste,Poste_class,Niveau
0,2022-12-25,Data Analyst - Publicité,"sql, t-sql, outils",paris,,,CDI,sept lieues,Data analyst,Data,Analyst
1,2022-12-16,Data analyst - H/F,"support, outils, agile, design, big data",paris,,,CDI,edf france,Data analyst,Data,Analyst
2,2022-12-19,Customer Data Analyst (H/F),"crm, data quality, sql, sas, python",paris,,,CDI,hermes,Data analyst,Data,Analyst
3,2022-12-25,Master Data Analyst H/F,"si, support, sap",moussy,,,CDI,tereos,Data analyst,Data,Analyst
4,2023-01-12,Portfolio Data Analyst H/F,"outils, support, decisionnel, sql, test",île-de-france,,,CDI,safran,Data analyst,Data,Analyst
5,2022-12-31,Data Analyst BO/Qlick Sense (h/f),"support, sql, data management, business objects, t-sql",maisons-alfort,45000.0,50000.0,CDD/Intérim,fed it,Data analyst,Data,Analyst
6,2022-12-18,Product Data Analyst - BI - H/F,"cloud, paas, qlik, iaas, support",paris,,,CDI,cegid,Data analyst,Data,Analyst
7,2022-12-16,Data Analyst / Chef de Projet BI (h/f),"data management, business intelligence, bases de données",paris,60000.0,62000.0,CDI,fed it,Data analyst,Data,Managment
8,2023-01-14,Business analyst senior DATA CRM - Paris H/F,"crm, agile, decisionnel, réseau, réseau",paris,,,CDI,credit agricole,Data analyst,Data,Analyst
9,2023-01-02,Data scientist / Analyst and software development F/H,"big data, scrum, intelligence artificielle, electronique, maintenance",rueil-malmaison,,,Stage,vinci,Data analyst,Data,Analyst
10,2023-01-02,Data Analyst (H/F) – Mobile Gaming - Gaminho,"mobile, marketing, outils, t-sql, sql",paris,,,CDI,paris&co,Data analyst,Data,Analyst
11,2023-01-01,Responsable Analyses et Data Relation Clients Assurances Dommages-(H/F),"sas, téléphonie, serveur, communication",la-defense,,,CDI,societe generale,Data analyst,Data,Managment
12,2023-01-12,DATA INGENIEUR F/H,"digital, outils, cloud, webmarketing, marketing",suresnes,,,CDI,fyte,Data ingenier,Data,Ingénieur
13,2023-01-01,Alternant - Data Analyst - statistiques prédictiveset connaissance client (H/F),"outils, marketing, digital, machine learning, python",saint-ouen,,,CDI,engie,Data analyst,Data,Analyst
14,2022-12-18,Data Scientist - CDI,"marketing, data management, support",rueil-malmaison,60000.0,65000.0,CDI,fed it,Data scientist,Data,Scientist
15,2023-01-06,Ingénieur MCO CyberSOC F/H,"sécurité, securité, si, réseau, outils",puteaux,,,CDI,i-tracing,Cyber,Net,Ingénieur
16,2023-01-13,Consultant Data h/f,"big data, oracle, cloud, sap, python",paris,60000.0,70000.0,CDI,selescope,Data consultant,Data,Expert
17,2023-01-13,DATA ENGINEER BIG DATA - H/F,"big data, python, support, intelligence artificielle, hadoop",paris,,,CDI,banque de france,Big Data,Data,Ingénieur
18,2023-01-01,DATA QUALITY MANAGER-(H/F),"data quality, marketing",fontenay-sous-bois,,,CDI,societe generale,Data manager,Data,Managment
19,2023-01-10,Chef de projets data - analytics H/F,"marketing, outils, digital, ux, mobile",gennevilliers,60000.0,70000.0,CDI,hays france,Data analyst,Data,Managment
20,2022-12-24,Senior Data Engineer - WINGLET.IO,"scala, data quality, edge, python, big data",paris,,,CDI,paris&co,Data ingenier,Data,Ingénieur
21,2023-01-14,Responsable Etudes et Projets SI H/F,"si, data management, data quality, méthodologie, outils",boulogne-billancourt,55000.0,60000.0,CDI,michael page,Chef de projets,Support,Managment
22,2022-12-21,Ingénieur BI & Big Data stagiaire F/H,"big data, bases de données, nosql, système, decisionnel",saint-germain-en-laye,,,Stage,trimane,Big Data,Data,Ingénieur
